datetime,timestamp,user,src,out,time
2023-04-27 00:03:37,1682553817,AM***-4BFG,Anubis Collection Package,AUG | Snake Pit,1682553817
2023-04-27 00:03:37,1682553817,AF***-RRAG,“突围大行动”武器箱,P250 | 超新星,1682553817
2023-04-27 00:03:40,1682553820,AM***-4BFG,Anubis Collection Package,XM1014 | Hieroglyph,1682553820
2023-04-27 00:03:41,1682553821,AS***-RHEA,Anubis Collection Package,USP 消音版 | Desert Tactical,1682553821
2023-04-27 00:03:41,1682553821,AF***-RRAG,“突围大行动”武器箱,MP7 | 都市危机,1682553821
2023-04-27 00:03:43,1682553823,A9***-P2VC,Anubis Collection Package,XM1014 | Hieroglyph,1682553823
2023-04-27 00:03:44,1682553824,AM***-4BFG,Anubis Collection Package,R8 左轮手枪 | Inlay,1682553824
2023-04-27 00:03:45,1682553825,AF***-RRAG,“突围大行动”武器箱,P2000（StatTrak™） | 乳白象牙,1682553825
2023-04-27 00:03:45,1682553825,AK***-78NN,Anubis Collection Package,MP7 | Sunbaked,1682553825
2023-04-27 00:03:45,1682553825,AR***-4TVJ,Anubis Collection Package,M4A1 消音型 | Mud-Spec,1682553825
2023-04-27 00:03:46,1682553826,AS***-RHEA,Anubis Collection Package,R8 左轮手枪 | Inlay,1682553826
2023-04-27 00:03:46,1682553826,A4***-YXTJ,2022年安特卫普锦标赛挑战组亲笔签名胶囊,印花 | SENER1 | 2022年安特卫普锦标赛,1682553826
2023-04-27 00:03:47,1682553827,A3***-LYSN,Anubis Collection Package,MAC-10 | Echoing Sands,1682553827
2023-04-27 00:03:48,1682553828,SD***-KFWE,Anubis Collection Package,M249 | Submerged,1682553828
2023-04-27 00:03:48,1682553828,AF***-RRAG,“突围大行动”武器箱,MP7 | 都市危机,1682553828
2023-04-27 00:03:49,1682553829,AP***-SNYJ,“头号特训”武器箱,新星 | 灼木,1682553829
2023-04-27 00:03:50,1682553830,A9***-P2VC,Anubis Collection Package,XM1014 | Hieroglyph,1682553830
2023-04-27 00:03:51,1682553831,AR***-BBPL,Anubis Collection Package,R8 左轮手枪 | Inlay,1682553831
2023-04-27 00:12:41,1682554361,AZ***-UQUA,Anubis Collection Package,SSG 08 | Azure Glyph,1682554361
